FoodID,MeasureID,ConversionFactorValue,ConvFactorDateOfEntry
5613,306,0.57,2014-02-20
5615,341,0.1352,2014-11-04
5615,415,0.338,2014-11-04
5638,1455,1,2014-07-04
5639,1579,0.6,2014-07-04
5650,1455,1,2014-07-04
5651,1579,0.6,2014-07-04
5675,152,1.02,2014-11-03
5677,152,0.43,2014-07-22
5677,341,0.56216,2014-07-22
5677,415,1.4054,2014-07-22
5691,245,0.21,2013-12-12
5693,245,0.185,2014-01-03
5702,245,0.192,2014-01-03
5715,1455,1,2014-07-04
5716,1579,0.6,2014-07-04
5723,1455,1,2014-07-04
5728,1455,1,2014-07-04
5729,1579,0.6,2014-07-04
5867,341,1.03978,2014-10-03
5867,415,2.59946,2014-10-03
5868,341,1.00597,2014-09-12
5868,415,2.51492,2014-04-30
5910,502500,1.04,2013-10-22
5917,341,0.78191,2011-06-14
5917,383,0.97739,2011-06-14
5917,415,1.95477,2011-06-14
6119,1455,1,2014-07-04
6175,341,1.35254,2014-02-19
6175,428,0.40576,2014-02-19
6181,1467,0.15,2011-04-07
6182,1467,0.15,2011-04-07
6183,1467,0.15,2011-04-07
6221,178,0.53,2014-02-12
6221,1558,0.265,2014-02-12
6227,341,1.70761,2014-02-12
6227,383,2.13451,2014-02-12
6227,415,4.26902,2014-02-12
6252,415,2.37755,2014-02-19
6254,1649,1.29,2014-04-30
6261,1461,0.55,2012-04-27
6264,1461,0.55,2012-04-27
6265,502500,1.04,2013-10-22
501509,439,0.02891,2014-09-11
501520,383,1.31958,2014-12-03
501520,415,2.63915,2014-12-03
501521,383,1.29233,2014-12-05
501521,415,2.58465,2014-12-05
501545,341,0.03339,2014-04-30
501545,383,0.04174,2014-04-30
501545,415,0.08348,2014-04-30
501586,341,0.7481,2014-09-12
501586,383,0.93513,2014-09-12
501587,341,0.76927,2014-09-12
501587,383,0.96159,2014-09-12
501587,415,1.92318,2014-09-12
501589,341,0.72277,2014-09-12
501589,383,0.90346,2014-09-12
501589,415,1.80693,2014-09-12
501601,502453,0.3,2010-12-02
501626,341,0.65092,2014-05-07
501626,383,0.81365,2014-05-07
501626,415,1.6273,2014-05-07
501628,383,1.35256,2014-05-07
501629,341,0.88762,2014-05-07
501629,383,1.10952,2014-05-07
501629,415,2.21905,2014-05-07
501643,502480,8.53,2013-12-27
501643,502505,1.07,2013-12-27
501644,245,1.15,2014-04-30
501644,502480,9.22,2014-04-30
501645,245,0.76,2014-04-30
501645,502480,5.9,2014-04-30
501646,211,8.76,2014-01-07
501646,502504,1.46,2014-01-07
501647,211,8.46,2014-04-30
501647,245,1.41,2014-04-30
501648,245,1.18,2013-12-27
501648,502480,9.46,2013-12-27
501672,341,0.76082,2014-05-06
501672,383,0.95102,2014-05-06
501672,415,1.90204,2014-05-06
501673,341,0.71855,2014-05-07
501673,415,1.79637,2014-05-07
501678,383,0.57058,2012-08-27
501680,343,0.63401,2014-05-07
501680,1031,0.79252,2014-05-07
501680,1032,1.58503,2014-05-07
501683,502408,0.003,2011-09-12
501707,76,1.6,2014-02-12
501707,593,0.2,2014-02-12
501731,217,2.02,2014-02-03
501731,341,0.51566,2014-09-12
501731,383,0.64658,2014-09-12
501731,415,1.28916,2014-02-03
501763,341,1.10063,2014-12-03
501763,383,1.38829,2014-12-03
501763,415,2.77658,2014-12-03
501801,341,1.16238,2014-02-03
501801,383,1.45298,2014-02-03
501801,385,0.17436,2014-02-03
501801,415,2.90595,2014-02-03
501801,428,0.3487,2014-02-03
501801,640,0.69743,2014-02-03
501830,1457,1.4,2011-05-19
501859,341,1.0567,2011-06-13
501859,389,1.8492,2011-06-13
501859,415,2.6417,2011-06-13
501866,383,0.23774,2010-09-30
501902,332,0.084,2014-04-22
501902,341,0.16062,2014-04-22
501902,383,0.20077,2014-04-22
501902,415,0.40154,2014-04-22
501902,480,0.0084,2014-04-22
501908,1489,1.25,2014-07-04
501909,1489,1.25,2014-07-04
501910,1489,1.25,2014-07-04
501911,1489,1.25,2014-07-04
501912,1489,1.25,2014-07-04
501915,341,0.98901,2014-12-15
501915,415,2.4725,2014-12-15
501925,1454,0.3,2011-05-05
501929,341,1.0228,2011-03-04
501929,383,1.2785,2011-03-04
501929,389,1.7899,2011-03-04
501929,415,2.557,2011-03-04
501930,389,1.50902,2011-06-13
501932,502435,0.77,2015-06-08
501934,341,1.1133,2014-09-11
501934,383,1.3916,2014-09-11
501934,385,0.167,2014-01-03
501966,383,0.8175,2014-02-25
501986,233,2.3,2012-10-26
501989,341,0.84535,2014-09-11
501989,383,1.05669,2014-09-11
501989,415,2.11338,2014-09-11
501998,341,0.91721,2014-09-11
501998,383,1.14651,2014-09-11
501998,415,2.29302,2014-09-11
502008,211,8.94,2014-01-07
502008,502504,1.49,2014-01-07
502016,110,0.86,2014-07-07
502016,371,0.78618,2014-07-07
502016,971,0.98272,2014-07-07
502016,979,1.96544,2014-07-07
502051,341,0.13102,2015-06-24
502051,383,0.16378,2015-06-24
502051,389,0.22929,2015-06-24
502051,415,0.32756,2015-06-24
502097,196,1.13,2014-04-14
