FoodID,RefuseID,RefuseAmount,RefuseDateOfEntry
502439,750,0,2014-02-24
502440,750,0,2014-02-24
502441,750,0,2014-02-24
502442,750,0,2014-02-24
502443,750,0,2014-02-25
502444,750,0,2015-04-14
502445,750,0,2014-03-03
502446,750,0,2014-03-03
502447,750,0,2014-03-04
502448,750,0,2014-03-04
502449,750,0,2014-03-04
502450,750,53,2014-03-04
502450,502532,53,2014-03-04
502451,750,0,2014-03-04
502452,750,0,2015-04-22
502453,750,0,2015-04-24
502454,750,0,2015-04-24
502458,750,0,2014-04-23
502461,750,0,2014-03-13
502462,750,0,2014-03-13
502463,750,0,2014-03-13
502465,750,0,2014-03-13
502466,750,0,2014-03-14
502467,750,0,2014-03-14
502468,750,0,2014-03-14
502469,750,0,2014-03-14
502470,750,0,2014-03-14
502471,750,0,2014-03-14
502472,750,0,2014-03-14
502473,750,0,2014-03-14
502477,750,0,2014-03-14
502479,750,0,2014-03-14
502480,750,0,2014-03-14
502481,750,0,2014-03-17
502482,750,0,2014-03-17
502483,750,0,2014-03-17
502484,750,0,2014-03-17
502485,750,0,2014-03-17
502486,750,0,2014-03-17
502487,750,0,2014-03-17
502488,750,0,2014-03-17
502489,750,0,2014-03-18
502490,750,0,2014-03-18
502491,750,0,2014-03-18
502492,750,0,2014-03-18
502493,750,0,2014-03-18
502494,750,0,2014-03-18
502495,750,0,2014-03-18
502496,750,0,2014-03-18
502497,750,0,2014-03-18
502498,750,0,2015-04-22
502501,750,0,2014-03-19
502502,750,0,2014-03-19
502503,750,0,2014-03-19
502504,750,0,2014-03-19
502505,750,0,2014-03-19
502506,750,0,2014-03-20
502507,750,0,2014-03-20
502508,750,0,2014-03-20
502510,750,0,2014-04-23
502512,750,0,2014-07-08
502520,750,0,2014-07-09
502521,750,0,2014-07-08
502522,750,0,2014-04-23
502523,750,0,2014-04-23
502524,750,0,2014-04-23
502525,750,0,2014-04-14
502526,750,0,2014-04-16
502527,750,0,2014-04-16
502531,750,0,2015-03-04
502532,750,0,2015-03-04
502533,750,0,2015-03-04
502536,750,0,2015-03-04
502537,750,0,2015-03-04
502538,750,0,2015-03-04
502539,750,0,2015-03-04
502540,750,0,2015-03-04
502541,750,0,2015-03-04
502542,750,0,2015-03-04
502543,750,0,2015-03-04
502544,750,0,2015-03-04
502545,750,0,2014-07-21
502546,750,0,2014-07-22
502547,750,0,2014-07-22
502551,750,0,2014-07-22
502552,750,0,2014-07-22
502553,750,0,2014-07-23
502554,750,0,2014-07-02
502555,750,0,2014-07-02
502557,750,0,2014-07-24
502558,750,0,2014-07-24
502559,750,0,2014-07-24
502560,750,41,2015-04-20
502560,759,9,2015-04-20
502560,502433,32,2015-04-20
502561,750,32,2014-07-03
502561,759,16,2014-07-03
502561,502433,16,2014-07-03
502562,750,16,2014-07-03
502562,502433,16,2014-07-03
502564,750,0,2014-11-03
502565,750,0,2014-11-03
502566,750,0,2014-07-25
502567,750,0,2014-07-25
502568,750,0,2014-11-03
502569,750,0,2014-11-03
502570,750,0,2014-11-03
502571,750,0,2014-11-03
502572,750,0,2014-11-03
502573,750,0,2014-11-03
502574,750,0,2014-11-03
502575,750,0,2014-11-03
502576,750,0,2014-11-03
502577,750,0,2014-11-04
502578,750,0,2014-11-04
502579,750,0,2014-11-04
502580,750,0,2014-11-04
502582,750,0,2014-11-03
502584,750,0,2014-11-03
502586,750,26,2014-07-15
502586,781,6,2014-07-15
502586,937,20,2014-07-15
502587,750,0,2014-11-03
502588,750,0,2014-11-03
502589,750,0,2014-11-03
502590,750,0,2014-11-03
502591,750,26,2014-07-15
502591,781,7,2014-07-15
502591,937,19,2014-07-15
502592,750,6,2014-07-15
502592,781,6,2014-07-15
502593,750,0,2014-11-03
502594,750,7,2014-07-15
502594,781,7,2014-07-15
502595,750,0,2014-11-03
502596,750,0,2014-11-03
502622,750,0,2014-07-28
502641,750,0,2014-08-28
502642,750,0,2014-08-29
502643,750,0,2014-08-29
502644,750,0,2014-08-29
502645,750,0,2014-08-29
502646,750,0,2014-08-29
502647,750,0,2014-08-29
502648,750,0,2014-08-29
502649,750,0,2014-08-29
502650,750,0,2014-08-29
502651,750,0,2014-08-29
502652,750,0,2014-09-03
502653,750,0,2014-09-04
502654,750,0,2014-09-04
502655,750,0,2014-09-04
502656,750,0,2014-09-04
502657,750,0,2014-09-04
502659,750,0,2014-09-05
502660,750,0,2014-09-05
502661,750,0,2014-09-05
502662,750,0,2014-09-05
502663,750,0,2014-09-05
502665,750,0,2014-09-08
502666,750,0,2014-09-08
502667,750,0,2014-09-08
502668,750,0,2014-09-08
502669,750,0,2014-09-08
502670,750,0,2014-09-08
502671,750,0,2014-09-08
502672,750,0,2014-09-08
502673,750,0,2014-09-09
502674,750,0,2014-09-09
502675,750,0,2014-09-09
502676,750,0,2014-09-09
502677,750,0,2014-09-09
502678,750,0,2014-09-09
502679,750,0,2014-09-09
502680,750,0,2014-09-09
502682,750,0,2014-09-09
502683,750,0,2014-09-09
502684,750,0,2014-09-10
502685,750,0,2014-09-10
502686,750,0,2014-09-10
502687,750,0,2014-09-10
502688,750,0,2014-09-10
502689,750,0,2014-09-10
502690,750,0,2014-09-10
502691,750,0,2014-09-10
502692,750,0,2014-09-10
502693,750,0,2014-09-12
502694,750,0,2014-09-12
502695,750,0,2015-04-20
502696,750,0,2014-10-01
502697,750,0,2014-10-03
502698,750,0,2014-10-15
502699,750,0,2014-10-15
502701,750,0,2014-10-16
502702,750,0,2014-10-16
502703,750,0,2014-10-20
502704,750,0,2014-11-05
502705,750,21,2014-10-20
502705,758,9,2014-10-20
502705,1450,12,2014-10-20
502706,750,0,2014-10-20
502707,750,0,2014-10-20
502708,750,0,2014-10-20
502709,750,0,2014-10-20
502710,750,51,2014-10-20
502710,758,4,2014-10-20
502710,1450,47,2014-10-20
502711,750,47,2014-10-20
502711,1450,47,2014-10-20
502712,750,0,2014-10-20
502713,750,0,2014-10-20
502714,750,0,2014-10-20
502715,750,0,2014-10-22
502716,750,0,2014-10-22
502717,750,0,2014-10-24
502718,750,0,2014-10-27
